"REF_DATE","GEO","DGUID","Homicides","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1983","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","16","","","","0"
"1984","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","7","","","","0"
"1985","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","17","","","","0"
"1986","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","7","","","","0"
"1987","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","10","","","","0"
"1988","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","10","","","","0"
"1989","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","14","","","","0"
"1990","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","15","","","","0"
"1991","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","12","","","","0"
"1992","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","6","","","","0"
"1993","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","13","","","","0"
"1994","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","11","","","","0"
"1995","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","4","","","","0"
"1996","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","15","","","","0"
"1997","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","9","","","","0"
"1998","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","15","","","","0"
"1999","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","10","","","","0"
"2000","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","12","","","","0"
"2001","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","5","","","","0"
"2002","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","3","","","","0"
"2003","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","4","","","","0"
"2004","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","6","","","","0"
"2005","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","5","","","","0"
"2006","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","7","","","","0"
"2007","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","0","","","","0"
"2008","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","8","","","","0"
"2009","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","2","","","","0"
"2010","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","7","","","","0"
"2011","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","3","","","","0"
"2012","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","6","","","","0"
"2013","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","3","","","","0"
"2014","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","4","","","","0"
"2015","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","2","","","","0"
"2016","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","1","","","","0"
"2017","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","10","","","","0"
"2018","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","3","","","","0"
"2019","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","5","","","","0"
"2020","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","7","","","","0"
"2021","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","5","","","","0"
"2022","Québec, Quebec","2021A003524421","Number of homicide victims","Number","223","units","0","v1489148","7.1","5","","","","0"
"1981","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","18","","","","0"
"1982","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","9","","","","0"
"1983","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","22","","","","0"
"1984","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","13","","","","0"
"1985","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","14","","","","0"
"1986","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","12","","","","0"
"1987","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","7","","","","0"
"1988","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","13","","","","0"
"1989","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","9","","","","0"
"1990","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","10","","","","0"
"1991","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","16","","","","0"
"1992","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","12","","","","0"
"1993","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","8","","","","0"
"1994","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","13","","","","0"
"1995","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","17","","","","0"
"1996","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","10","","","","0"
"1997","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","11","","","","0"
"1998","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","6","","","","0"
"1999","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","16","","","","0"
"2000","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","10","","","","0"
"2001","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","14","","","","0"
"2002","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","13","","","","0"
"2003","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","9","","","","0"
"2004","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","9","","","","0"
"2005","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","11","","","","0"
"2006","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","7","","","","0"
"2007","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","11","","","","0"
"2008","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","6","","","","0"
"2009","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","9","","","","0"
"2010","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","11","","","","0"
"2011","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","7","","","","0"
"2012","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","6","","","","0"
"2013","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","15","","","","0"
"2014","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","10","","","","0"
"2015","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","7","","","","0"
"2016","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","12","","","","0"
"2017","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","12","","","","0"
"2018","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","9","","","","0"
"2019","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","14","","","","0"
"2020","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","18","","","","0"
"2021","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","20","","","","0"
"2022","Hamilton, Ontario","2021A003535537","Number of homicide victims","Number","223","units","0","v1489152","9.1","10","","","","0"
"1981","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","3","","","","0"
"1982","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","9","","","","0"
"1983","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","4","","","","0"
"1984","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","6","","","","0"
"1985","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","7","","","","0"
"1986","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","4","","","","0"
"1987","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","5","","","","0"
"1988","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","6","","","","0"
"1989","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","4","","","","0"
"1990","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","2","","","","0"
"1991","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","11","","","","0"
"1992","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","7","","","","0"
"1993","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","8","","","","0"
"1994","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","3","","","","0"
"1995","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","3","","","","0"
"1996","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","6","","","","0"
"1997","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","3","","","","0"
"1998","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","7","","","","0"
"1999","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","2","","","","0"
"2000","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","8","","","","0"
"2001","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","6","","","","0"
"2002","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","3","","","","0"
"2003","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","1","","","","0"
"2004","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","6","","","","0"
"2005","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","7","","","","0"
"2006","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","2","","","","0"
"2007","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","8","","","","0"
"2008","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","4","","","","0"
"2009","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","4","","","","0"
"2010","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","4","","","","0"
"2011","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","7","","","","0"
"2012","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","4","","","","0"
"2013","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","8","","","","0"
"2014","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","3","","","","0"
"2015","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","6","","","","0"
"2016","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","6","","","","0"
"2017","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","5","","","","0"
"2018","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","7","","","","0"
"2019","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","5","","","","0"
"2020","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","8","","","","0"
"2021","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","2","","","","0"
"2022","Kitchener-Cambridge-Waterloo, Ontario","2021A003535541","Number of homicide victims","Number","223","units","0","v1489156","11.1","7","","","","0"
"1981","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"1982","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","3","","","","0"
"1983","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","5","","","","0"
"1984","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"1985","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","7","","","","0"
"1986","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","1","","","","0"
"1987","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","5","","","","0"
"1988","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","3","","","","0"
"1989","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","4","","","","0"
"1990","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"1991","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","2","","","","0"
"1992","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","10","","","","0"
"1993","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"1994","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"1995","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","3","","","","0"
"1996","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","4","","","","0"
"1997","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","4","","","","0"
"1998","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"1999","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","5","","","","0"
"2000","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","2","","","","0"
"2001","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"2002","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","4","","","","0"
"2003","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","8","","","","0"
"2004","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","5","","","","0"
"2005","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","14","","","","0"
"2006","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","5","","","","0"
"2007","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"2008","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","2","","","","0"
"2009","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","3","","","","0"
"2010","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","9","","","","0"
"2011","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","9","","","","0"
"2012","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","8","","","","0"
"2013","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","10","","","","0"
"2014","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","4","","","","0"
"2015","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","8","","","","0"
"2016","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","8","","","","0"
"2017","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","7","","","","0"
"2018","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","6","","","","0"
"2019","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","5","","","","0"
"2020","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","8","","","","0"
"2021","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","16","","","","0"
"2022","London, Ontario","2021A003535555","Number of homicide victims","Number","223","units","0","v1489160","13.1","7","","","","0"
"1981","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","1","","","","0"
"1982","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","11","","","","0"
"1983","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"1984","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","7","","","","0"
"1985","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","9","","","","0"
"1986","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"1987","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","11","","","","0"
"1988","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","12","","","","0"
"1989","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","4","","","","0"
"1990","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","9","","","","0"
"1991","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","11","","","","0"
"1992","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","11","","","","0"
"1993","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"1994","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"1995","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","1","","","","0"
"1996","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","9","","","","0"
"1997","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","8","","","","0"
"1998","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","2","","","","0"
"1999","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","7","","","","0"
"2000","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","4","","","","0"
"2001","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","5","","","","0"
"2002","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","8","","","","0"
"2003","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"2004","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","7","","","","0"
"2005","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","14","","","","0"
"2006","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","4","","","","0"
"2007","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","3","","","","0"
"2008","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"2009","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","5","","","","0"
"2010","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","4","","","","0"
"2011","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","3","","","","0"
"2012","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","3","","","","0"
"2013","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"2014","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","4","","","","0"
"2015","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","7","","","","0"
"2016","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","1","","","","0"
"2017","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","3","","","","0"
"2018","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","2","","","","0"
"2019","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"2020","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","5","","","","0"
"2021","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","6","","","","0"
"2022","St. Catharines-Niagara, Ontario","2021A003535539","Number of homicide victims","Number","223","units","0","v1489158","12.1","8","","","","0"
"1981","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","0","","","","0"
"1982","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","2","","","","0"
"1983","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
"1984","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","0","","","","0"
"1985","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","2","","","","0"
"1986","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
"1987","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
"1988","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
"1989","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","5","","","","0"
"1990","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","2","","","","0"
"1991","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","11","","","","0"
"1992","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
"1993","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","5","","","","0"
"1994","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","2","","","","0"
"1995","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","0","","","","0"
"1996","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
"1997","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","6","","","","0"
"1998","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
"1999","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","2","","","","0"
"2000","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","2","","","","0"
"2001","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","1","","","","0"
"2002","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","0","","","","0"
"2003","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","1","","","","0"
"2004","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","6","","","","0"
"2005","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","1","","","","0"
"2006","Oshawa, Ontario","2021A003535532","Number of homicide victims","Number","223","units","0","v1489168","17.1","3","","","","0"
